FL	RW	CL	CW	BD	Class
0.34818	0.0239	0.57515	0.68414	0.25389	0
0.37679	0.17934	0.72967	0.79847	0.45828	0
0.43401	-0.05382	0.60325	0.70954	0.31228	0
0.43401	-0.01496	0.64539	0.69684	0.45828	0
0.46262	0.29592	0.77181	0.95091	0.60427	0
0.60567	0.33478	0.92633	1.02713	0.57507	0
0.66289	0.52908	1.0668	1.03983	0.80867	0
0.6915	0.37364	0.99656	1.01442	0.63347	0
0.92037	1.1897	1.40392	1.59878	1.10066	0
1.06342	0.29592	1.33369	1.39552	1.10066	0
1.06342	0.4125	1.23536	1.28119	0.80867	0
1.17786	0.9954	1.37583	1.53526	1.10066	0
1.20647	0.56794	1.55844	1.6877	1.33425	0
1.20647	0.6068	1.44606	1.58607	1.24665	0
1.63561	1.15084	2.10627	2.31016	1.74304	0
-2.39835	-2.42428	-2.44494	-2.45358	-2.31563	1
-1.88337	-1.64708	-1.79878	-1.7422	-1.84844	1
-1.85476	-1.80252	-1.91116	-1.88193	-1.84844	1
-1.85476	-1.76366	-1.81283	-1.80571	-1.84844	1
-1.74032	-1.76366	-1.75664	-1.78031	-1.81925	1
-1.6545	-1.49164	-1.64427	-1.58976	-1.52725	1
-1.56867	-1.3362	-1.57403	-1.52624	-1.64405	1
-1.51145	-1.25848	-1.51784	-1.48813	-1.49806	1
-1.48284	-1.18076	-1.46166	-1.39921	-1.67325	1
-1.3684	-1.25848	-1.34928	-1.28488	-1.43966	1
-1.31118	-1.1419	-1.34928	-1.3611	-1.70245	1
-1.25396	-1.06418	-1.30714	-1.20866	-1.35206	1
-1.16813	-0.67558	-1.04025	-0.91648	-1.14767	1
-1.13952	-0.67558	-1.05429	-1.0054	-1.06007	1
-1.13952	-0.52014	-1.18072	-1.10703	-1.17687	1
-1.11091	-0.83102	-1.01215	-1.0054	-1.06007	1
-1.05369	-0.52014	-0.85764	-0.80215	-0.91408	1
-1.02508	-0.79216	-1.05429	-0.95459	-1.03087	1
-1.02508	-0.63672	-0.94192	-0.91648	-0.88488	1
-0.85343	-0.20926	-0.84359	-0.6116	-0.82648	1
-0.79621	-0.40356	-0.70312	-0.66241	-0.62209	1
-0.79621	-0.20926	-0.75931	-0.67512	-0.85568	1
-0.79621	-0.20926	-0.59074	-0.57349	-0.73888	1
-0.73899	-0.52014	-0.67503	-0.58619	-0.79728	1
-0.71038	-0.48128	-0.63289	-0.48457	-0.85568	1
-0.68177	-0.20926	-0.59074	-0.54808	-0.73888	1
-0.62455	-0.3647	-0.52051	-0.47186	-0.68048	1
-0.53872	-0.09268	-0.49242	-0.33213	-0.62209	1
-0.4815	0.10162	-0.29576	-0.19239	-0.2717	1
-0.25262	-0.09268	-0.28171	-0.2178	-0.44689	1
-0.1954	0.17934	-0.28171	-0.10347	-0.59289	1
-0.16679	0.4125	-0.05696	0.06167	-0.00891	1
-0.16679	0.56794	0.09756	0.12519	-0.00891	1
-0.13818	0.2182	-0.04291	-0.01455	-0.1549	1
-0.13818	0.29592	-0.02887	0.07438	-0.0673	1
-0.13818	0.4125	-0.05696	0.02356	-0.3009	1
-0.10957	0.6068	0.25207	0.26493	0.19549	1
-0.08097	0.56794	0.06946	0.23952	-0.0673	1
-0.05236	0.2182	0.04137	0.1506	-0.0673	1
-0.02375	0.4125	0.18184	0.29033	0.19549	1
0.00486	0.45136	0.09756	0.18871	-0.1841	1
0.00486	0.76224	0.25207	0.39196	0.07869	1
0.03347	0.45136	0.20993	0.26493	0.02029	1
0.06208	0.87882	0.33635	0.49359	0.37068	1
0.17652	0.95654	0.33635	0.46818	-0.0381	1
0.23374	0.49022	0.29421	0.43007	0.34148	1
0.31957	1.30628	0.63134	0.69684	0.39988	1
0.51984	1.61716	0.85609	0.97631	0.75027	1
0.54845	1.53944	0.91228	1.02713	0.86706	1
1.03481	1.46172	1.23536	1.45904	1.18825	1
-1.85476	-2.26884	-2.164	-2.26303	-1.93604	2
-1.54006	-1.76366	-1.67236	-1.80571	-1.46886	2
-1.39701	-1.60822	-1.60212	-1.7422	-1.41046	2
-1.19674	-1.45278	-1.32119	-1.47543	-1.14767	2
-0.88204	-1.29734	-1.25095	-1.32299	-0.94327	2
-0.88204	-1.29734	-1.11048	-1.19595	-0.82648	2
-0.82482	-0.90874	-0.85764	-0.96729	-0.56369	2
-0.68177	-0.67558	-0.70312	-0.76404	-0.53449	2
-0.62455	-1.02532	-0.77335	-0.86567	-0.59289	2
-0.53872	-0.67558	-0.64693	-0.75134	-0.53449	2
-0.45289	-0.48128	-0.40813	-0.53538	-0.2717	2
-0.42428	-0.90874	-0.45027	-0.58619	-0.1549	2
-0.42428	-0.86988	-0.42218	-0.6116	-0.2717	2
-0.42428	-0.79216	-0.47837	-0.57349	-0.2133	2
-0.39567	-0.83102	-0.47837	-0.5989	-0.33009	2
-0.39567	-0.79216	-0.60479	-0.70052	-0.38849	2
-0.39567	-0.559	-0.40813	-0.53538	-0.1549	2
-0.28123	-0.559	-0.30981	-0.37024	-0.35929	2
-0.25262	-0.63672	-0.43623	-0.54808	-0.2717	2
-0.13818	-0.52014	-0.26766	-0.39565	-0.00891	2
-0.13818	-0.48128	-0.16934	-0.30672	-0.0381	2
-0.05236	-0.63672	-0.26766	-0.35754	-0.1549	2
0.03347	-0.20926	-0.05696	-0.28132	0.04949	2
0.17652	-0.3647	0.02732	-0.14158	0.19549	2
0.20513	-0.44242	-0.07101	-0.28132	0.13709	2
0.43401	-0.05382	0.40659	0.31574	0.48748	2
0.51984	0.0239	0.56111	0.39196	0.63347	2
0.54845	-0.28698	0.32231	0.11249	0.37068	2
0.54845	-0.01496	0.3504	0.25222	0.60427	2
0.63428	-0.09268	0.54706	0.43007	0.77947	2
0.66289	0.06276	0.67348	0.56981	0.72107	2
0.6915	0.25706	0.64539	0.62062	0.89626	2
0.74871	0.37364	0.94037	0.79847	0.92546	2
0.80593	0.25706	0.81395	0.73495	1.07146	2
0.86315	0.25706	0.7999	0.69684	0.95466	2
0.86315	0.29592	0.67348	0.48088	0.86706	2
0.92037	0.25706	0.71562	0.59521	1.01306	2
0.92037	0.4125	0.99656	0.87469	1.12986	2
1.09203	0.52908	0.98251	0.86198	1.10066	2
1.09203	0.64566	1.08084	1.00172	1.12986	2
1.2923	0.37364	1.19322	1.02713	1.15906	2
1.43535	0.64566	1.50225	1.28119	1.62624	2
1.54978	0.87882	1.5163	1.37012	1.56784	2
1.69283	1.07312	1.88152	1.6877	2.00583	2
1.72144	1.03426	1.90961	1.6877	1.91823	2
1.72144	0.8011	1.58653	1.49715	1.77223	2
1.80727	1.15084	1.86747	1.85284	2.06422	2
1.86449	1.1897	1.7551	1.675	1.88903	2
2.12198	1.5783	2.12032	1.99258	2.18102	2
2.15059	1.15084	2.1765	2.0815	2.21022	2
-1.39701	-1.18076	-1.5038	-1.57705	-1.23526	3
-1.19674	-1.37506	-1.46166	-1.56435	-1.26446	3
-0.88204	-1.06418	-1.12453	-1.19595	-0.91408	3
-0.85343	-0.48128	-0.99811	-1.05622	-0.73888	3
-0.7676	-0.59786	-0.88573	-0.92918	-0.62209	3
-0.45289	-0.32584	-0.71717	-0.63701	-0.41769	3
-0.45289	0.0239	-0.46432	-0.50997	-0.38849	3
-0.36706	-0.20926	-0.56265	-0.58619	-0.44689	3
-0.25262	0.17934	-0.35195	-0.38294	-0.33009	3
-0.1954	0.10162	-0.29576	-0.34483	-0.2133	3
-0.16679	-0.1704	-0.28171	-0.39565	-0.00891	3
0.00486	0.29592	-0.1272	-0.16699	0.02029	3
0.00486	0.49022	-0.07101	-0.14158	-0.0673	3
0.00486	0.52908	-0.15529	-0.24321	-0.0673	3
0.03347	0.33478	-0.15529	-0.2051	-0.0673	3
0.14791	0.33478	-0.07101	-0.05266	-0.00891	3
0.14791	0.37364	-0.0991	-0.03995	-0.0381	3
0.17652	0.49022	-0.07101	-0.10347	-0.0965	3
0.31957	0.6068	0.02732	0.07438	0.19549	3
0.43401	0.68452	0.1397	0.09978	0.16629	3
0.54845	0.6068	0.33635	0.40466	0.45828	3
0.54845	0.64566	0.33635	0.32844	0.57507	3
0.54845	0.76224	0.16779	0.1506	0.16629	3
0.57706	0.49022	0.26612	0.27763	0.42908	3
0.6915	0.83996	0.36445	0.39196	0.48748	3
0.6915	1.384	0.81395	0.83658	0.92546	3
0.77732	1.15084	0.42064	0.51899	0.60427	3
0.80593	1.07312	0.49087	0.45548	0.54588	3
0.80593	1.15084	0.61729	0.65873	0.69187	3
0.83454	0.72338	0.68753	0.70954	0.75027	3
0.86315	0.68452	0.36445	0.37926	0.28308	3
0.92037	0.95654	0.51896	0.51899	0.75027	3
0.94898	1.53944	0.5892	0.67143	0.37068	3
1.0062	1.26742	0.7999	0.74765	0.80867	3
1.0062	1.384	0.81395	0.78576	0.92546	3
1.17786	1.53944	1.09489	0.9128	1.21745	3
1.23508	1.50058	1.02465	0.95091	1.12986	3
1.23508	2.00576	1.12298	1.26849	1.12986	3
1.26369	1.53944	1.16512	1.10335	1.07146	3
1.2923	1.73374	1.08084	0.97631	1.33425	3
1.34952	1.26742	1.02465	0.97631	1.15906	3
1.40674	1.85032	1.10894	1.15416	1.50944	3
1.43535	1.85032	1.31964	1.24308	1.50944	3
1.52117	1.46172	1.09489	1.05253	1.01306	3
1.63561	2.20006	1.64272	1.52256	1.74304	3
1.66422	2.04462	1.2775	1.24308	1.36345	3
1.75005	1.69488	1.34773	1.37012	1.62624	3
1.80727	1.73374	1.47416	1.39552	1.59704	3
1.97893	1.73374	1.53034	1.56067	1.68464	3
2.15059	2.89954	1.97985	2.04339	2.06422	3
